,video_id,fps,start_sec,stop_sec,narration,step_id
0,2022.07.26-20.35.03,24,10,11,take jar,
1,2022.07.26-20.35.03,24,12,13,take wire,
2,2022.07.26-20.35.03,24,21,24,put tortilla,1
3,2022.07.26-20.35.03,24,24,26,take knife,2
4,2022.07.26-20.35.03,24,26,28,take cloth,2
5,2022.07.26-20.35.03,24,30,31,take jar,2
6,2022.07.26-20.35.03,24,31,35,scoop spreads,2
7,2022.07.26-20.35.03,24,36,43,apply spreads,2
8,2022.07.26-20.35.03,24,43,46,scoop spreads,2
9,2022.07.26-20.35.03,24,46,58,apply spreads,2
10,2022.07.26-20.35.03,24,58,60,scoop spreads,2
11,2022.07.26-20.35.03,24,60,90,apply spreads,2
12,2022.07.26-20.35.03,24,90,100,wash knife cloth,3
13,2022.07.26-20.35.03,24,104,106,take jar,4
14,2022.07.26-20.35.03,24,106,108,take knife,4
15,2022.07.26-20.35.03,24,108,112,scoop spreads,4
16,2022.07.26-20.35.03,24,112,114,apply spreads,4
17,2022.07.26-20.35.03,24,115,121,scoop spreads,4
18,2022.07.26-20.35.03,24,121,158,apply spreads,4
19,2022.07.26-20.35.03,24,158,165,wash knife cloth,5
20,2022.07.26-20.35.03,24,165,167,put knife,5
21,2022.07.26-20.35.03,24,169,178,move wrap,6
22,2022.07.26-20.35.03,24,178,193,wrap wrap,6
23,2022.07.26-20.35.03,24,194,197,take wire,7
24,2022.07.26-20.35.03,24,201,229,insert wire,7
25,2022.07.26-20.35.03,24,229,238,move wrap,7
26,2022.07.26-20.35.03,24,239,240,take knife,8
27,2022.07.26-20.35.03,24,240,252,cut wrap knife,8
28,2022.07.26-20.35.03,24,255,264,cut wrap knife,8
29,2022.07.26-20.35.03,24,266,270,put knife,8
30,2022.07.26-20.35.03,24,272,273,move wrap,9
31,2022.07.26-20.35.03,24,274,280,take wire,9
,2022.07.26-20.35.03,24,280,290,cut wrap wire,10
32,2022.07.26-20.35.03,24,290,373,cut wrap wire,11
33,2022.07.26-20.35.03,24,381,396,put wrap plate,12
34,2022.07.26-22.21.56,24,0,2,put tortilla,1
35,2022.07.26-22.21.56,24,2,4,take knife,2
36,2022.07.26-22.21.56,24,4,5,take jar,2
37,2022.07.26-22.21.56,24,5,6,take knife,2
38,2022.07.26-22.21.56,24,6,12,scoop spreads,2
39,2022.07.26-22.21.56,24,13,57,apply spreads,2
40,2022.07.26-22.21.56,24,57,67,wash knife cloth,3
41,2022.07.26-22.21.56,24,70,71,take jar,4
42,2022.07.26-22.21.56,24,71,72,take knife,4
43,2022.07.26-22.21.56,24,72,78,scoop spreads,4
44,2022.07.26-22.21.56,24,78,107,apply spreads,4
45,2022.07.26-22.21.56,24,109,115,wash knife cloth,5
46,2022.07.26-22.21.56,24,115,116,put knife,5
47,2022.07.26-22.21.56,24,118,120,wrap wrap,6
48,2022.07.26-22.21.56,24,120,132,wrap wrap,6
49,2022.07.26-22.21.56,24,132,135,take wire,7
50,2022.07.26-22.21.56,24,138,162,insert wire,7
51,2022.07.26-22.21.56,24,163,164,take knife,8
52,2022.07.26-22.21.56,24,164,181,cut wrap knife,8
53,2022.07.26-22.21.56,24,184,186,put knife,8
54,2022.07.26-22.21.56,24,186,188,move wrap,9
55,2022.07.26-22.21.56,24,188,189,take wire,9
56,2022.07.26-22.21.56,24,191,227,cut wrap wire,10
,2022.07.26-22.21.56,24,227,313,cut wrap wire,11
57,2022.07.26-22.21.56,24,318,342,put wrap plate,12
58,ethan-4pinwheels,15,10,12,take bag,1
59,ethan-4pinwheels,15,12,15,open bag,1
60,ethan-4pinwheels,15,15,17,put tortilla,1
61,ethan-4pinwheels,15,20,21,take jar,2
62,ethan-4pinwheels,15,21,22,take knife,2
63,ethan-4pinwheels,15,22,27,open jar,2
64,ethan-4pinwheels,15,27,33,scoop spreads,2
65,ethan-4pinwheels,15,35,52,apply spreads,2
66,ethan-4pinwheels,15,52,55,scoop spreads,2
67,ethan-4pinwheels,15,55,82,apply spreads,2
68,ethan-4pinwheels,15,86,88,take cloth,3
69,ethan-4pinwheels,15,90,94,wash knife cloth,3
70,ethan-4pinwheels,15,117,118,take jar,4
71,ethan-4pinwheels,15,121,128,open jar,4
72,ethan-4pinwheels,15,133,135,scoop spreads,4
73,ethan-4pinwheels,15,135,138,apply spreads,4
74,ethan-4pinwheels,15,140,143,scoop spreads,4
75,ethan-4pinwheels,15,143,146,apply spreads,4
76,ethan-4pinwheels,15,146,149,scoop spreads,4
77,ethan-4pinwheels,15,149,153,apply spreads,4
78,ethan-4pinwheels,15,153,157,scoop spreads,4
79,ethan-4pinwheels,15,157,166,apply spreads,4
80,ethan-4pinwheels,15,175,179,wash knife cloth,5
81,ethan-4pinwheels,15,192,202,wrap wrap,6
82,ethan-4pinwheels,15,208,215,take wire,7
83,ethan-4pinwheels,15,218,229,insert wire,7
84,ethan-4pinwheels,15,236,237,take knife,8
85,ethan-4pinwheels,15,239,249,cut wrap knife,8
86,ethan-4pinwheels,15,251,253,put knife,8
87,ethan-4pinwheels,15,261,267,take wire,9
88,ethan-4pinwheels,15,273,340,cut wrap wire,10
89,ethan-4pinwheels,15,348,353,put wrap plate,12
90,ethan-4pinwheels,15,394,395,open bag,1
91,ethan-4pinwheels,15,397,399,put tortilla,1
92,ethan-4pinwheels,15,404,405,take jar,2
93,ethan-4pinwheels,15,407,410,scoop spreads,2
94,ethan-4pinwheels,15,410,424,apply spreads,2
95,ethan-4pinwheels,15,425,426,scoop spreads,2
96,ethan-4pinwheels,15,426,455,apply spreads,2
97,ethan-4pinwheels,15,458,459,take jar,2
98,ethan-4pinwheels,15,462,463,take jar,2
99,ethan-4pinwheels,15,470,474,wash knife cloth,3
100,ethan-4pinwheels,15,475,476,take jar,4
101,ethan-4pinwheels,15,479,481,scoop spreads,4
102,ethan-4pinwheels,15,481,488,apply spreads,4
103,ethan-4pinwheels,15,488,490,scoop spreads,4
104,ethan-4pinwheels,15,490,493,apply spreads,4
105,ethan-4pinwheels,15,493,494,scoop spreads,4
106,ethan-4pinwheels,15,494,510,apply spreads,4
107,ethan-4pinwheels,15,516,518,wash knife cloth,5
108,ethan-4pinwheels,15,533,547,wrap wrap,6
109,ethan-4pinwheels,15,549,559,take wire,7
110,ethan-4pinwheels,15,564,580,insert wire,7
111,ethan-4pinwheels,15,586,594,insert wire,7
112,ethan-4pinwheels,15,595,597,take knife,8
113,ethan-4pinwheels,15,603,610,cut wrap knife,8
114,ethan-4pinwheels,15,617,620,take wire,9
115,ethan-4pinwheels,15,622,678,cut wrap wire,10
116,ethan-4pinwheels,15,683,685,put wrap plate,12
117,ethan-4pinwheels,15,688,689,put wrap plate,12
118,ethan-4pinwheels,15,835,836,open bag,1
119,ethan-4pinwheels,15,846,847,take knife,2
120,ethan-4pinwheels,15,847,849,take jar,2
121,ethan-4pinwheels,15,849,851,scoop spreads,2
122,ethan-4pinwheels,15,852,861,apply spreads,2
123,ethan-4pinwheels,15,862,865,scoop spreads,2
124,ethan-4pinwheels,15,866,897,apply spreads,2
125,ethan-4pinwheels,15,900,903,wash knife cloth,3
126,ethan-4pinwheels,15,908,909,take jar,4
127,ethan-4pinwheels,15,909,911,scoop spreads,4
128,ethan-4pinwheels,15,914,915,scoop spreads,4
