task_index,true_step,predicted_step
0,1,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,2,2
1,2,2
0,2,2
1,2,2
0,2,2
1,2,2
0,2,2
1,2,2
0,2,2
1,2,2
0,2,2
1,2,2
0,2,2
1,2,2
0,2,2
1,2,2
0,2,2
1,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,2
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,4
0,3,4
0,3,4
0,3,4
0,3,4
0,3,4
0,3,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,6
0,5,6
0,5,6
0,5,6
0,5,6
0,5,6
0,5,6
0,5,6
0,5,6
0,5,6
0,5,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,6
0,6,7
0,6,7
0,6,7
0,6,7
0,6,7
0,6,7
0,6,7
0,6,7
0,6,7
0,6,7
0,6,7
0,6,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,7
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,7,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,8
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,8,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,9,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,9
0,10,11
0,10,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,11
0,11,12
0,11,12
0,11,12
0,11,12
0,11,12
0,11,12
0,11,12
0,11,12
0,11,12
0,11,12
0,11,12
0,11,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
0,12,12
